"STATION","NAME","DATE","TMAX","TMIN"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-15","91","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-16","94","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-17","96","75"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-18","95","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-19","98","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-20","99","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-21","100","76"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-22","92","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-23","77","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-24","86","63"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-25","87","59"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-26","90","61"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-27","92","64"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-28","95","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-29","96","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-30","96","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-31","89","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-01","91","65"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-02","85","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-03","89","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-04","91","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-05","86","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-06","92","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-07","90","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-08","91","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-09","91","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-10","86","61"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-11","86","61"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-12","91","63"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-13","90","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-14","91","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-15","88","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-16","88","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-17","93","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-18","95","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-19","96","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-20","94","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-21","94","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-22","94","70"
